continent;location;date;total_cases;total_deaths;total_cases_per_million;total_tests;positive_rate;total_vaccinations;total_vaccinations_per_hundred;stringency_index;population;aged_65_older;aged_70_older;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers
Africa;Algeria;01/08/2020;30950;1223;705,798;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;02/08/2020;31465;1231;717,543;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;03/08/2020;31972;1239;729,105;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;04/08/2020;32504;1248;741,237;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;05/08/2020;33055;1261;753,802;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;06/08/2020;33626;1273;766,823;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;07/08/2020;34155;1282;778,887;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;08/08/2020;34693;1293;791,156;;;;;87,96;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;09/08/2020;35160;1302;801,805;;;;;87,96;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;10/08/2020;35712;1312;814,393;;;;;85,19;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;11/08/2020;36204;1322;825,613;;;;;85,19;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;12/08/2020;36699;1333;836,901;;;;;85,19;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;13/08/2020;37187;1341;848,03;;;;;85,19;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;14/08/2020;37664;1351;858,908;;;;;85,19;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;15/08/2020;38133;1360;869,603;;;;;68,52;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;16/08/2020;38583;1370;879,865;;;;;68,52;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;17/08/2020;39025;1379;889,945;;;;;68,52;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;18/08/2020;39444;1391;899,5;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;19/08/2020;39847;1402;908,69;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;20/08/2020;40258;1411;918,063;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;21/08/2020;40667;1418;927,39;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;22/08/2020;41068;1424;936,534;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;23/08/2020;41460;1435;945,474;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;24/08/2020;41858;1446;954,55;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;25/08/2020;42228;1456;962,987;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;26/08/2020;42619;1465;971,904;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;27/08/2020;43016;1475;980,957;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;28/08/2020;43403;1483;989,783;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;29/08/2020;43781;1491;998,403;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;30/08/2020;44146;1501;1006,726;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;31/08/2020;44494;1510;1014,662;;;;;79,63;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;01/09/2020;44833;1518;1022,393;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;02/09/2020;45158;1523;1029,804;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;03/09/2020;45469;1529;1036,897;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;04/09/2020;45773;1539;1043,829;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;05/09/2020;46071;1549;1050,625;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;06/09/2020;46364;1556;1057,307;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;07/09/2020;46653;1562;1063,897;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;08/09/2020;46938;1571;1070,396;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;09/09/2020;47216;1581;1076,736;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;10/09/2020;47488;1591;1082,939;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;11/09/2020;47752;1599;1088,959;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;12/09/2020;48007;1605;1094,774;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;13/09/2020;48254;1612;1100,407;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;14/09/2020;48496;1620;1105,926;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;15/09/2020;48734;1632;1111,353;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;16/09/2020;48966;1645;1116,644;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;17/09/2020;49194;1654;1121,843;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;18/09/2020;49413;1659;1126,838;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;19/09/2020;49623;1665;1131,626;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;20/09/2020;49826;1672;1136,256;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;21/09/2020;50023;1679;1140,748;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;22/09/2020;50214;1689;1145,104;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;23/09/2020;50400;1698;1149,346;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;24/09/2020;50579;1703;1153,428;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;25/09/2020;50754;1707;1157,418;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;26/09/2020;50914;1711;1161,067;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;27/09/2020;51067;1714;1164,556;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;28/09/2020;51213;1719;1167,886;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;29/09/2020;51368;1726;1171,42;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;30/09/2020;51530;1736;1175,115;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;01/10/2020;51690;1741;1178,763;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;02/10/2020;51847;1749;1182,344;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;03/10/2020;51995;1756;1185,719;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
Africa;Algeria;04/10/2020;52136;1760;1188,934;;;;;75,93;43851043;6,211;3,857;278,364;6,73;0,7;30,4
