iso_code;continent;location;date;total_cases;total_deaths;total_tests;positive_rate;total_vaccinations;population;aged_65_older;aged_70_older;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers
AFG;Asia;Afghanistan;01/04/2020;197;4;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;02/04/2020;240;4;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;03/04/2020;275;8;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;04/04/2020;300;10;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;05/04/2020;338;12;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;06/04/2020;368;15;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;07/04/2020;424;16;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;08/04/2020;445;16;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;09/04/2020;485;17;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;10/04/2020;532;18;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;11/04/2020;556;18;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;12/04/2020;608;19;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;13/04/2020;666;22;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;14/04/2020;715;23;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;15/04/2020;785;29;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;16/04/2020;841;30;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;17/04/2020;907;30;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;18/04/2020;934;30;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;19/04/2020;997;33;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;20/04/2020;1027;36;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;21/04/2020;1093;36;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;22/04/2020;1177;40;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;23/04/2020;1236;40;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;24/04/2020;1331;43;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;25/04/2020;1464;47;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;26/04/2020;1532;52;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;27/04/2020;1704;58;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;28/04/2020;1830;59;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;29/04/2020;1940;61;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;30/04/2020;2127;64;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;01/05/2020;2291;68;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;02/05/2020;2470;72;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;03/05/2020;2705;85;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;04/05/2020;2895;90;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;05/05/2020;3225;95;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;06/05/2020;3393;104;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;07/05/2020;3564;106;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;08/05/2020;3781;109;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;09/05/2020;4042;115;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;10/05/2020;4403;120;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;11/05/2020;4687;122;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;12/05/2020;4968;127;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;13/05/2020;5227;132;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;14/05/2020;5640;136;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;15/05/2020;6054;153;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;16/05/2020;6403;168;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;17/05/2020;6665;170;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;18/05/2020;7073;173;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;19/05/2020;7654;178;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;20/05/2020;8146;188;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;21/05/2020;8677;194;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;22/05/2020;9219;206;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;23/05/2020;10001;217;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;24/05/2020;10585;219;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;25/05/2020;11176;220;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;26/05/2020;11834;221;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;27/05/2020;12459;228;;;;38928341;2,581;1,337;597,029;9,59;;
AFG;Asia;Afghanistan;28/05/2020;13039;236;;;;38928341;2,581;1,337;597,029;9,59;;
