continent;location;date;total_cases;total_deaths;total_tests;total_vaccinations;population;aged_65_older;aged_70_older;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers
Europe;Cyprus;01/08/2020;1124;19;207077;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Luxembourg;01/08/2020;6793;116;489147;;625976;14,312;9,842;128,275;4,42;20,9;26
Europe;Monaco;01/08/2020;120;4;;;39244;;;;5,46;;
Europe;Slovenia;01/08/2020;2171;119;132795;;2078932;19,062;12,93;153,493;7,25;20,1;25
Europe;Sweden;01/08/2020;77379;5743;;;10099270;19,985;13,433;133,982;4,79;18,8;18,9
Europe;Cyprus;02/08/2020;1150;19;210001;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Luxembourg;02/08/2020;6855;117;490005;;625976;14,312;9,842;128,275;4,42;20,9;26
Europe;Monaco;02/08/2020;120;4;;;39244;;;;5,46;;
Europe;Slovenia;02/08/2020;2180;120;133067;;2078932;19,062;12,93;153,493;7,25;20,1;25
Europe;Sweden;02/08/2020;77417;5743;;;10099270;19,985;13,433;133,982;4,79;18,8;18,9
Europe;Cyprus;03/08/2020;1155;19;212582;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;01/04/2020;320;9;8176;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;02/04/2020;356;10;8779;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;03/04/2020;396;11;9447;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;04/04/2020;426;11;10145;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;05/04/2020;446;9;10937;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;06/04/2020;465;9;11655;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;07/04/2020;494;9;13008;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;08/04/2020;526;9;14264;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;09/04/2020;564;10;15480;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;10/04/2020;595;10;16299;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;11/04/2020;616;10;17110;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;12/04/2020;633;11;17914;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;13/04/2020;662;12;18805;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;14/04/2020;695;12;20508;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;15/04/2020;715;12;22820;;875899;13,416;8,563;141,171;9,24;19,6;52,7
Europe;Cyprus;16/04/2020;735;12;25725;;875899;13,416;8,563;141,171;9,24;19,6;52,7
