iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;new_vaccinations_smoothed_per_million;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index
PRY;South America;Paraguay;31/01/2021;133227;679;796,429;2718;14;14,429;18678,786;95,198;111,661;381,071;1,963;2,023;0,96;3232;652585;91,494;0,453;3165;0,444;0,252;4;tests performed;;;;;;;;;55,56;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;01/02/2021;133781;554;773,571;2733;15;14,429;18756,458;77,672;108,457;383,174;2,103;2,023;0,94;3403;655988;91,971;0,477;3263;0,457;0,237;4,2;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;02/02/2021;134482;701;726,857;2750;17;14,143;18854,74;98,282;101,907;385,557;2,383;1,983;0,94;3428;659416;92,452;0,481;3301;0,463;0,22;4,5;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;03/02/2021;135229;747;723,714;2765;15;13,857;18959,472;104,731;101,467;387,66;2,103;1,943;0,96;3358;662774;92,923;0,471;3293;0,462;0,22;4,6;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;04/02/2021;136023;794;729,429;2779;14;14;19070,793;111,321;102,268;389,623;1,963;1,963;0,97;3491;666265;93,412;0,489;3347;0,469;0,218;4,6;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;05/02/2021;136890;867;714,857;2791;12;14;19192,348;121,556;100,225;391,306;1,682;1,963;1;3569;669834;93,913;0,5;3389;0,475;0,211;4,7;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;06/02/2021;137603;713;722,143;2807;16;14,714;19292,313;99,965;101,246;393,549;2,243;2,063;1,02;3547;673381;94,41;0,497;3433;0,481;0,21;4,8;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;07/02/2021;138118;515;698,714;2826;19;15,429;19364,517;72,204;97,962;396,213;2,664;2,163;1,04;3007;676388;94,831;0,422;3400;0,477;0,206;4,9;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;08/02/2021;138945;827;737,714;2846;20;16,143;19480,465;115,948;103,43;399,017;2,804;2,263;1,06;3003;679391;95,252;0,421;3343;0,469;0,221;4,5;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;09/02/2021;139819;874;762,429;2862;16;16;19603,002;122,537;106,895;401,26;2,243;2,243;1,07;3539;682930;95,749;0,496;3359;0,471;0,227;4,4;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;10/02/2021;140797;978;795,429;2876;14;15,857;19740,12;137,118;111,521;403,223;1,963;2,223;1,08;3549;686479;96,246;0,498;3386;0,475;0,235;4,3;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;11/02/2021;141775;978;821,714;2891;15;16;19877,239;137,118;115,207;405,326;2,103;2,243;1,09;3794;690273;96,778;0,532;3430;0,481;0,24;4,2;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;12/02/2021;142598;823;815,429;2904;13;16,143;19992,625;115,387;114,325;407,149;1,823;2,263;1,09;3530;693803;97,273;0,495;3424;0,48;0,238;4,2;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;13/02/2021;143443;845;834,286;2920;16;16,143;20111,097;118,471;116,969;409,392;2,243;2,263;1,11;3486;697289;97,762;0,489;3415;0,479;0,244;4,1;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;14/02/2021;144042;599;846,286;2936;16;15,714;20195,078;83,981;118,652;411,635;2,243;2,203;1,13;3474;700763;98,249;0,487;3482;0,488;0,243;4,1;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;15/02/2021;145095;1053;878,571;2953;17;15,286;20342,711;147,633;123,178;414,019;2,383;2,143;1,15;3443;704206;98,732;0,483;3545;0,497;0,248;4;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;16/02/2021;146216;1121;913,857;2971;18;15,571;20499,879;157,167;128,125;416,542;2,524;2,183;1,16;3619;707825;99,239;0,507;3556;0,499;0,257;3,9;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;17/02/2021;147253;1037;922,286;2991;20;16,429;20645,269;145,39;129,307;419,346;2,804;2,303;1,15;3773;711598;99,768;0,529;3588;0,503;0,257;3,9;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;18/02/2021;148622;1369;978,143;3008;17;16,714;20837,206;191,938;137,138;421,73;2,383;2,343;1,16;3796;715394;100,3;0,532;3589;0,503;0,273;3,7;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;19/02/2021;149684;1062;1012,286;3026;18;17,429;20986,102;148,895;141,925;424,253;2,524;2,444;1,15;3703;719097;100,819;0,519;3613;0,507;0,28;3,6;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;20/02/2021;150731;1047;1041,143;3045;19;17,857;21132,894;146,792;145,971;426,917;2,664;2,504;1,15;3613;722710;101,326;0,507;3632;0,509;0,287;3,5;tests performed;;;;;;;;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;21/02/2021;151718;987;1096,571;3065;20;18,429;21271,274;138,38;153,742;429,721;2,804;2,584;1,14;3754;726464;101,852;0,526;3672;0,515;0,299;3,3;tests performed;0;0;;;;0;0;;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;22/02/2021;152658;940;1080,429;3080;15;18,143;21403,065;131,791;151,479;431,824;2,103;2,544;1,12;3677;730141;102,368;0,516;3705;0,519;0,292;3,4;tests performed;200;200;;200;200;0;0;28;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;23/02/2021;153790;1132;1082;3101;21;18,571;21561,774;158,709;151,699;434,769;2,944;2,604;1,11;3739;733880;102,892;0,524;3722;0,522;0,291;3,4;tests performed;545;545;;345;272;0,01;0,01;38;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;24/02/2021;154904;1114;1093;3119;18;18,286;21717,96;156,186;153,242;437,292;2,524;2,564;1,1;3309;737189;103,356;0,464;3656;0,513;0,299;3,3;tests performed;1000;1000;;455;333;0,01;0,01;47;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
PRY;South America;Paraguay;25/02/2021;156189;1285;1081;3135;16;18,143;21898,12;180,16;151,559;439,535;2,243;2,544;1,11;3494;740683;103,846;0,49;3613;0,507;0,299;3,3;tests performed;1360;1360;;360;340;0,02;0,02;48;50;7132530;17,144;26,5;6,378;3,833;8827,01;1,7;199,128;8,27;5;21,6;79,602;1,3;74,25;0,728
