continent;location;date;total_cases;total_deaths;total_tests;positive_rate;total_vaccinations;population;aged_65_older;aged_70_older;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers
South America;Argentina;01/04/2020;1054;28;7164;0,17;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;02/04/2020;1133;36;8455;0,134;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;03/04/2020;1265;39;9700;0,121;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;04/04/2020;1451;43;10790;0,121;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;05/04/2020;1451;44;11615;0,109;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;06/04/2020;1554;48;12704;0,104;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;07/04/2020;1628;56;14080;0,073;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;08/04/2020;1715;63;15611;0,078;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;09/04/2020;1795;72;17038;0,077;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;10/04/2020;1975;82;18270;0,083;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;11/04/2020;1975;83;19603;0,059;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;12/04/2020;2142;90;20666;0,076;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;13/04/2020;2208;97;22078;0,07;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;14/04/2020;2277;102;23744;0,067;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;15/04/2020;2443;111;25435;0,074;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;16/04/2020;2571;115;27164;0,077;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;17/04/2020;2669;123;28869;0,065;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;18/04/2020;2758;129;30504;0,072;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;19/04/2020;2839;132;31686;0,063;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;20/04/2020;2941;136;33498;0,064;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;21/04/2020;3031;147;35769;0,063;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;22/04/2020;3144;152;37770;0,057;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
South America;Argentina;23/04/2020;3435;165;39943;0,068;;45195777;11,198;7,441;191,032;5,5;16,2;27,7
